product_id;product_name;price;product_image;product_reviews;product_condition;product_id,product_name,price,product_image,product_reviews,product_condition
OFL2419;Curabitur sodales;50.00;product1;5;in stock;OFL2419,Curabitur sodales,50.00,product1,5,in stock
LLT2337;QUISQUE ORNARA DUI;50.00;product2;5;in stock;LLT2337,QUISQUE ORNARA DUI,50.00,product2,5,in stock
FDB5812;sed non turipiss;60.00;product3;5;in stock;FDB5812,sed non turipiss,60.00,product3,5,in stock
PLL0137;Duis convalli;60.00;product4;5;in stock;PLL0137,Duis convalli,60.00,product4,5,in stock
UVQ8403;SILK ORGANZA SHIRT;50.00;product5;5;in stock;UVQ8403,SILK ORGANZA SHIRT,50.00,product5,5,in stock
WHS9603;PRINCE OF WALES WOOL PANT;50.00;product6;5;in stock;WHS9603,PRINCE OF WALES WOOL PANT,50.00,product6,5,in stock
RVH0086;MOHAIR POLO SWEATER;70.00;product7;5;in stock;RVH0086,MOHAIR POLO SWEATER,70.00,product7,5,in stock
GCO5699;JERSEY SWEATSHIRTØ;80.00;product8;5;in stock;GCO5699,JERSEY SWEATSHIRTØ,80.00,product8,5,in stock
FQJ4405;INTERLOCKINGØG;70.00;product9;5;in stock;FQJ4405,INTERLOCKINGØG,70.00,product9,5,in stock
MFB7943;NYLON JACKET;70.00;product10;5;in stock;MFB7943,NYLON JACKET,70.00,product10,5,in stock
XWT5753;HORSEBIT BELT;50.00;product11;5;in stock;XWT5753,HORSEBIT BELT,50.00,product11,5,in stock
MQY2335;INTERLOCKING GØ;60.00;product12;5;in stock;MQY2335,INTERLOCKING GØ,60.00,product12,5,in stock
EGJ4781;ØJERSEY T-SHIRT;60.00;product13;5;in stock;EGJ4781,ØJERSEY T-SHIRT,60.00,product13,5,in stock
BRP9221;GG wool;50.00;product14;5;in stock;BRP9221,GG wool,50.00,product14,5,in stock
WAS2987;WALES WOOL PANT;50.00;product15;5;in stock;WAS2987,WALES WOOL PANT,50.00,product15,5,in stock
AWM1832;WALES WOOL;50.00;productbig;5;in stock;AWM1832,WALES WOOL,50.00,productbig,5,in stock
SEO8996;ORGANZA DUI;50.00;productbig1;5;in stock;SEO8996,ORGANZA DUI,50.00,productbig1,5,in stock
FXC0177;WALES SHIRT;50.00;productbig2;5;in stock;FXC0177,WALES SHIRT,50.00,productbig2,5,in stock
